player_id,name,club,fm_id,status,role,fantacalcio_pid,face_file,source
5bb8174d-2f00-452b-80de-9924ad05c622,BUTEZ,COM,48030298,verified,P,6966,face_48030298.png,historical_mapping
36e76b09-7736-4ac0-b38f-b2ea4f18de81,CHALOBAH,COM,28103591,verified,D,5641,face_28103591.png,historical_mapping
065bbb31-7a46-4817-8e1e-ceeee0519118,COUTO,COM,19383257,verified,D,6727,face_19383257.png,historical_mapping
898c845b-3a81-40a7-9536-76e219f05b0d,DA CUNHA,COM,49038940,verified,C,5559,face_49038940.png,historical_mapping
7c3d1f79-5ffa-42cc-99d3-8af26e60c202,DIAO,COM,2000210791,verified,A,6967,face_2000210791.png,historical_mapping
181a7682-c7a2-41f5-843a-a9f99c79b2b6,DOUVIKAS,COM,36137588,verified,A,7017,face_36137588.png,historical_mapping
ab1d5dcb-fa0e-43a1-af75-e107bca85097,KAIKI,COM,2000086175,verified,D,7414,face_2000086175.png,historical_mapping
60247cae-9f2c-47ae-9697-24e1d4369481,KEAN,COM,43274977,verified,A,2097,face_43274977.png,historical_mapping
201eeb89-e9b2-4d79-b00b-62bffe165184,MILLA,COM,67191561,verified,C,7412,face_67191561.png,historical_mapping
0453c49d-69b2-4541-838b-2e4e1c74dc3e,PAZ,COM,2000163799,verified,C,,face_2000163799.png,historical_mapping
6c4d69df-9c19-4612-b861-acb12a5291a8,PERRONE,COM,14227360,verified,C,6151,face_14227360.png,historical_mapping
200e7d09-fa5c-48b4-8ec7-81af4d66ff6b,RAMON,COM,2000214886,verified,D,6869,face_2000214886.png,historical_mapping
4722d0a5-edac-4e5f-959e-bbf03a972c4a,RODRIGUEZ,COM,,needs_review,A,,,historical_mapping
c6f4bf21-939b-435e-809f-476b1009b25e,SMOLCIC,COM,24061267,verified,D,7014,face_24061267.png,historical_mapping
b57737f3-f090-49b7-8ec1-85c51ee8f93d,VALLE,COM,2000082098,verified,D,6867,face_2000082098.png,historical_mapping
b2cf488a-88ba-496d-b3ee-10ce7656f676,ATTA,FIO,2000024341,verified,C,6908,face_2000024341.png,historical_mapping
9d12f1f1-ea05-4da2-8fd6-6db2ed16c578,BETO,FIO,83228124,verified,A,5694,face_83228124.png,historical_mapping
0436c052-e1ed-4678-b5d3-8f768dfea46a,DE GEA,FIO,67030171,verified,P,2521,face_67030171.png,historical_mapping
7fe35256-e3da-4d26-8b3b-2e3688cdd903,DRAGUSIN,FIO,57178516,verified,D,5365,face_57178516.png,historical_mapping
14fd23c8-d758-49f8-bcff-066905d0e8ba,FAGIOLI,FIO,43372948,verified,C,4465,face_43372948.png,historical_mapping
f160ce0b-5d07-4f92-bc33-ed1c846fe59c,GONCALVES,FIO,29192705,verified,C,7625,face_29192705.png,historical_mapping
2cd4086a-72db-4271-aab7-2a89eeba8a03,JIMENEZ,FIO,2000211997,verified,D,6531,face_2000211997.png,historical_mapping
458be558-6488-488f-ada4-85864cb21a5f,JOAO MARIO,FIO,83174775,verified,D,7175,face_83174775.png,historical_mapping
03946eee-c2fd-4a47-bab2-dd2c081550e2,MASTANTUONO,FIO,2000183231,verified,C,7078,face_2000183231.png,historical_mapping
08b759de-659d-4488-a0ef-e720eb943afd,NDOUR,FIO,2000022887,verified,C,6294,face_2000022887.png,historical_mapping
d7bd0748-37f6-4ead-b67c-a943c7f10154,NJIE,FIO,,needs_review,C,6827,,historical_mapping
927918d8-31d0-42a6-a8fe-15ac54c5acda,OULAI,FIO,2000381116,verified,C,7464,face_2000381116.png,historical_mapping
3a7b356c-4913-4fe1-9d17-6a8c59a164da,PELLEGRINO,FIO,14217538,verified,A,7023,face_14217538.png,historical_mapping
d758bbda-4c8e-4950-98d1-3194b8f10500,PONGRACIC,FIO,91175664,verified,D,5603,face_91175664.png,historical_mapping
1d6c6a67-cc94-4d30-a9a6-7b6b9597fb0e,VALDEPENAS,FIO,2000297000,verified,D,7294,face_2000297000.png,historical_mapping
e25308aa-1f78-4ac0-bbb7-c6e9b18c6aa4,VIERY,FIO,2000255823,verified,D,7410,face_2000255823.png,historical_mapping
4706890e-7b4f-4dae-a643-72ee19dab03b,BOBCEK,FRO,63037851,verified,A,7612,face_63037851.png,historical_mapping
0ee71393-d005-405e-bb82-28cd4fb5f059,BRACAGLIA,FRO,43500011,verified,D,7469,face_43500011.png,historical_mapping
927f9fc3-5a29-4414-a299-4ca5eb7421e5,CALÒ,FRO,43154747,verified,C,7472,face_43154747.png,historical_mapping
d2694e5d-158d-496b-a120-6119a875e56c,CALVANI,FRO,2000127893,verified,D,7467,face_2000127893.png,historical_mapping
f84916dc-acd2-4843-be33-fe94d8f1c842,CICHELLA,FRO,2000184263,verified,C,7473,face_2000184263.png,historical_mapping
f16edc20-be32-45d9-aeeb-c4110da979ef,GHEDJEMIS,FRO,49061425,verified,A,6530,face_49061425.png,historical_mapping
f0f3a8ef-145d-4d96-901f-dfea3659cee3,GRILLITSCH,FRO,16096614,verified,C,7550,face_16096614.png,historical_mapping
03cde70d-1053-4b51-9f44-f7c0d711d76e,KVERNADZE,FRO,59139122,verified,A,6204,face_59139122.png,historical_mapping
c63df1bb-e897-4987-8228-79333a99b63d,MONTERISI,FRO,43393176,verified,D,4952,face_43393176.png,historical_mapping
ee608056-7cb8-4526-8af1-861a1913ef58,OYONO,FRO,48049837,verified,D,6238,face_48049837.png,historical_mapping
24542c6a-184b-4c02-9af3-0e3569a712a7,PALMISANI,FRO,2000055968,verified,P,6415,face_2000055968.png,historical_mapping
5c47b0d0-4dfb-46ed-821f-f4473c93306f,RAIMONDO,FRO,2000021170,verified,A,5436,face_2000021170.png,historical_mapping
8e92aea3-67e6-4753-b00e-1ef15d174dac,SCHMID,FRO,16184737,verified,C,7551,face_16184737.png,historical_mapping
c9209306-ece2-4ef5-b621-b2e7f99b1c14,TCHATO,FRO,49061872,verified,D,7605,face_49061872.png,historical_mapping
49cd9a61-6afa-49c6-b840-6144cda8e440,TERZIC,FRO,62192744,verified,D,4375,face_62192744.png,historical_mapping
fd171f19-2e4f-4b7d-be50-ece0913aa280,ZERBIN,FRO,43280475,verified,C,5998,face_43280475.png,historical_mapping
a08083ee-5e0d-47b6-8f07-ec46ad9d710a,AMORIM,GEN,2000207241,verified,C,7341,face_2000207241.png,historical_mapping
e98441f7-3fbe-43a8-bd0d-1fea1c50852c,BALDANZI,GEN,43591641,verified,C,5823,face_43591641.png,historical_mapping
131a2463-8d2b-49b9-91eb-d91593c51629,BIJLOW,GEN,37050136,verified,P,7332,face_37050136.png,historical_mapping
8cfb9985-a9ff-4a88-8cc5-17d1dab4002c,COLOMBO,GEN,43424893,verified,A,4923,face_43424893.png,historical_mapping
94162be6-e1eb-476d-994b-121e1cc16e27,EHIZIBUE,GEN,37053569,verified,D,6047,face_37053569.png,historical_mapping
0899f9bd-9fe0-4baf-b289-41b74d081f75,EL SHAARAWY,GEN,43036636,verified,A,795,face_43036636.png,historical_mapping
