player_id,name,club,fm_id,face_file,status,role,fantacalcio_pid
42038f7f-3809-4c53-90a6-4f6592cc947f,BELLANOVA,ATA,43295110,face_43295110.png,verified,D,4887
43d0137b-9c6b-4405-9fdb-3feb3a0606d5,BERNASCONI,ATA,2000019039,face_2000019039.png,verified,D,7219
267f70f9-02b7-408c-b3f0-c80cbde55159,CARNESECCHI,ATA,43298002,face_43298002.png,verified,P,4431
72356330-8516-4b8b-b5ca-a0ccd187303c,DE KETELAERE,ATA,18110528,face_18110528.png,verified,A,5995
53f86cfa-95bc-4446-a151-ee4f03fe5fce,EDERSON,ATA,19326796,face_19326796.png,verified,C,5792
4ba20e81-987c-46dd-802c-9741bb251a65,GAETANO,ATA,43317758,face_43317758.png,verified,C,4364
048edaee-81b5-4ee4-ad2f-a6f4fe4146f7,HIEN,ATA,93083839,face_93083839.png,verified,D,6046
e8e2b7e5-92fd-44f0-a6cc-941a28159f2a,KESSIÈ,ATA,13136664,face_13136664.png,verified,C,1850
4ba57c06-aef5-4929-ab84-7edee5360c41,KRISTENSEN,ATA,2000005988,face_2000005988.png,verified,D,6485
cc3659b1-7e30-4931-9774-b7d3e5cf41b4,KRSTOVIC,ATA,62195758,face_62195758.png,verified,A,6435
785e5112-fb7d-4f39-9ee2-fad7840611dc,RASPADORI,ATA,43316850,face_43316850.png,verified,A,4371
34bedc2a-82ed-4862-b97e-98e7624d0068,ROWE,ATA,28127273,face_28127273.png,verified,C,6844
113a3e88-aa00-46cb-9fcd-3eb9b4725977,SAMARDZIC,ATA,91182849,face_91182849.png,verified,C,5119
c9c3c592-1a6a-4cd0-ac1f-a98761c19f1a,SCALVINI,ATA,43500755,face_43500755.png,verified,D,5526
c2d76ef1-d511-4528-9c29-0f2adcd4906e,SCAMACCA,ATA,37053643,face_37053643.png,verified,A,2137
fc73eb10-faa1-40c4-b870-afeb58f2d76d,ZAPPACOSTA,ATA,43061433,face_43061433.png,verified,D,554
f60b47e1-1322-4985-8395-167b4b16772a,AMONDARAIN,BOL,2000267567,face_2000267567.png,verified,C,7528
d8ea44bb-0fbe-45c5-ad28-e70dbd59c8a4,BERNARDESCHI,BOL,43093476,face_43093476.png,verified,C,184
5c4d2999-3a86-47a9-82a7-aac891b2104c,CAMBIAGHI,BOL,43295822,face_43295822.png,verified,C,4436
44757c0b-87b3-4d68-b690-c1ae15ceaaa0,DOVBYK,BOL,71099066,face_71099066.png,verified,A,6675
a6be2cf3-2f8a-43b2-a67f-70787feab555,FERGUSON,BOL,61078132,face_61078132.png,verified,C,5858
071b298d-f16d-4ac1-919d-b5e8f4983df9,HEGGEM,BOL,53138523,face_53138523.png,verified,D,7212
86978213-946e-4493-983f-9e085a9e6039,LIBRA,BOL,2000394909,face_2000394909.png,verified,C,7629
ba8586ec-ee42-4fee-9471-9a1076e5c0ec,MBANGULA,BOL,18115008,face_18115008.png,verified,C,6833
47c63f30-ca7f-46eb-bd1e-590392cef27b,MIRANDA,BOL,67258411,face_67258411.png,verified,D,4734
18dac7d6-419d-4751-8c6d-fa1bd724b8aa,MORO,BOL,24046418,face_24046418.png,verified,C,
a27d29d6-7f17-47a4-be93-197f714e1db9,ODGAARD,BOL,27119480,face_27119480.png,verified,C,2765
65bd361d-480f-4767-a960-295bc1130fe2,ORSOLINI,BOL,43162321,face_43162321.png,verified,C,2167
cc338da5-86c9-4a4b-aad2-0dd555654c8c,PICCOLI,BOL,43372280,face_43372280.png,verified,A,4359
0f34e3c7-31cc-480c-aa6c-8c380efe2ee2,POBEGA,BOL,43269242,face_43269242.png,verified,C,5298
a1318eed-ea5b-4f72-9026-9979c1bb3294,SKORUPSKI,BOL,54009099,face_54009099.png,verified,P,133
4adc073b-413c-49c8-a99d-179a6118d862,THEATE,BOL,18105815,face_18105815.png,verified,D,5675
b1ed2db3-db84-40f2-905f-37b061766a36,ZORTEA,BOL,43252462,face_43252462.png,verified,D,4433
eccf0679-5895-4147-8b92-3095e8aee018,ADOPO,CAG,43459075,face_43459075.png,verified,C,4870
4de505a0-351b-483b-9f49-7edcfb8e9513,CAPRILE,CAG,43391659,face_43391659.png,verified,P,4360
a21d277e-cc82-46eb-840a-4310bf01b266,FADERA,CAG,13227290,face_13227290.png,verified,C,6815
02043a79-c3c9-46e6-9c04-cd061e1f3224,FAZZINI,CAG,43591640,face_43591640.png,verified,C,6010
ecbdc266-3595-411b-bb79-148d1b1bbc18,KEVIN CARLOS,CAG,2000056828,face_2000056828.png,verified,A,7547
